#,Rule ID,Target File & Line,Target Class,Security Analysis & Triage Reasoning,Expected Patch,Affected Code
1,eval-detected,app/routes/contributions.js:32,TP,"Code Injection (AppSec): Detected eval() usage within an Express routing file. In the NodeGoat architecture, this specific line processes unvalidated HTTP POST requests, creating a critical Server-Side JavaScript Injection vulnerability.",Replace eval(req.body.preTax) with safe arithmetic parsing using parseFloat() or custom sanitization logic to avoid arbitrary execution.,"var preTax = eval(req.body.preTax);"
2,code-string-concat,app/routes/contributions.js:32,TP,Data Flow Analysis (AppSec): Correlates with Finding #1. The static scanner correctly identifies that user-controllable input from an Express web request is concatenated directly into a dangerous sink (eval) without sanitization.,Avoid multi-line or dynamic string concatenation when channeling input into dynamic evaluation wrappers. Implement strict validation schemas.,"var calc = eval('amount + ' + req.body.preTax);"
3,writable-filesystem-service,docker-compose.yml:13,TP,"Cloud Misconfiguration (IaC): The Mongo container is deployed with a writable root filesystem. In a secure cloud environment, this should enforce read_only: true to prevent attackers from establishing persistence or downloading malware post-breach.",Add 'read_only: true' configuration block under the mongo service architecture inside docker-compose.yml.,"mongo: image: mongo:latest ports: - '27017:27017'"
4,no-new-privileges,docker-compose.yml:13,TP,"Privilege Escalation (IaC): The Docker configuration omits security_opt: no-new-privileges:true. Without this flag, compromised processes inside the container could potentially escalate privileges using setuid/setgid binaries.",Add 'security_opt: - no-new-privileges:true' parameter under the mongo container definition block in docker-compose.yml.,"mongo: image: mongo:latest volumes: - ./data:/data/db"
5,express-open-redirect,app/routes/index.js:72,TP,"Unvalidated Redirect (AppSec): The application relies on user-supplied input (req.query.target or similar) to dictate a URL redirection. Lacking an allow-list, this enables attackers to craft malicious phishing links that appear to originate from the trusted domain.",Implement a strict local/domain allowlist and validate the 'target' query parameter against it prior to invoking res.redirect().,"res.redirect(req.query.target);"
6,express-cookie-session-no-secure,server.js:78,TP,"Infrastructure/Config Misconfiguration: Global session middleware is instantiated without the Secure flag. Consequently, authentication cookies may be transmitted over unencrypted HTTP connections, making them susceptible to interception.",Configure the cookie settings object in the express-session middleware initialization within server.js to enforce 'secure: true'.,"app.use(session({ secret: 'keyboard cat', cookie: { secure: false } }));"
7,detected-bcrypt-hash,artifacts/db-reset.js:19,FP,"Development Context / Testing: The scanner flags a hardcoded password hash. However, contextual analysis of the file path (artifacts/db-reset.js) reveals this is a database initialization script for seeding dummy data in development environments, not a production credential exposure.","No programmatic patch required. Address via risk acceptance: append an inline exclusion flag (e.g., nosemgrep) or add the path to .semgrepignore.","const mockAdminPassword = '$2a$10$7/O2z3/8/X...';"
8,django-no-csrf-token,app/views/login.html:107,FP,"Framework Mismatch: A classic static analysis artifact. Semgrep applies a Python Django security rule simply because it encountered an HTML template file, completely ignoring that the host architecture is a Node.js/Express application.",No patch required. Resolve via policy enforcement: remove Python rule packs from the Node.js pipeline configuration or filter out false rules in .semgrepignore.,"<form method='post' action='/login'><input type='text' name='user'></form>"
9,django-no-csrf-token,app/views/benefits.html:54,FP,"Framework Mismatch: Identical to Finding #8. The scanner lacks architectural awareness, flagging a missing Django CSRF token in a non-Django tech stack.",No patch required. Isolate scanning policies to prevent non-applicable multi-framework cross-contamination during execution.,"<form method='post' action='/benefits'><input type='date' name='start'></form>"
10,plaintext-http-link,app/views/tutorial/a2.html:207,FP,"Static Documentation: The scanner flags an unencrypted HTTP link. However, this file resides within the tutorial/ directory and consists entirely of static instructional text. It does not govern application logic and poses zero operational security risk.",No functional code patch needed. Optional cleanup: transition internal hardcoded documentation hyperlinks from HTTP to HTTPS schemas where available.,"<a href='                          '>Read the old docs</a>"
11,crypto-weak-cipher,test/auth.spec.js:45,FP,"Development Context / Testing: The scanner flags the use of the MD5 hashing algorithm. While MD5 is cryptographically broken, checking the file path reveals this is a unit test explicitly mocking a legacy system's response. There is no risk to production infrastructure.","No programmatic patch required. Add the tests/ directory to .semgrepignore to prevent testing artifacts from triggering security alerts.","const hash = crypto.createHash('md5').update('mock_data').digest('hex');"
